"","Family","NumL","PercL","NumG","PercG"
"1","AK3",0,0,0,0
"2","AK6",0,0,0,0
"3","AK9",0,0,0,0
"4","BA2",0,0,0,0
"5","BA3",0,0,0,0
"6","BA5",0,0,0,0
"7","BC3",0,0,0,0
"8","BC6",0,0,0,0
"9","BK2",0,0,0,0
"10","BK3",0,0,0,0
"11","BK5",0,0,0,0
"12","BL1",0,0,0,0
"13","BL2",0,0,0,0
"14","BL3",0,0,0,0
"15","BR3",0,0,0,0
"16","BR7",0,0,0,0
"17","CC2",0,0,0,0
"18","CC4",0,0,0,0
"19","CC7",0,0,0,0
"20","CP24",0,0,0,0
"21","CP26",0,0,0,0
"22","CR2",0,0,0,0
"23","CR3",0,0,0,0
"24","CR4",0,0,0,0
"25","DE4",0,0,0,0
"26","DE5",0,0,0,0
"27","DE6",0,0,0,0
"28","GA1",0,0,0,0
"29","GA2",0,0,0,0
"30","GA3",0,0,0,0
"31","GP1",0,0,0,0
"32","GP2",0,0,0,0
"33","HC1",0,0,0,0
"34","HC2",0,0,0,0
"35","KL10",0,0,0,0
"36","KL12",0,0,0,0
"37","KL13",0,0,0,0
"38","KL14",0,0,0,0
"39","LC1",0,0,0,0
"40","LC2",0,0,0,0
"41","OH1",0,0,0,0
"42","OL1",0,0,0,0
"43","PA1",0,0,0,0
"44","PA3",0,0,0,0
"45","PA4",0,0,0,0
"46","PF1",0,0,0,0
"47","PF4",0,0,0,0
"48","PF5",0,0,0,0
"49","PL11",0,0,0,0
"50","PL4",0,0,0,0
"51","PL7",0,0,0,0
"52","RA2",0,0,0,0
"53","RA8",0,0,0,0
"54","RV4",0,0,0,0
"55","RV8",0,0,0,0
"56","SN1",0,0,0,0
"57","SN2",0,0,0,0
"58","SN4",0,0,0,0
"59","VE10",0,0,0,0
"60","VE5",0,0,0,0
"61","VE7",0,0,0,0
"62","VI3",0,0,0,0
"63","VI4",0,0,0,0
"64","VI5",0,0,0,0
"65","ZE1",0,0,0,0
"66","ZE4",0,0,0,0
"67","ZE6",0,0,0,0
"68","BC8",0,0,0,0
"69","CP9",0,0,0,0
"70","RV3",0,0,0,0
