"","Source","NumL","PercL","NumG","PercG"
"1","AK",0,0,0,0
"2","BA",0,0,0,0
"3","BC",0,0,0,0
"4","BK",0,0,0,0
"5","BL",0,0,0,0
"6","BR",0,0,0,0
"7","CC",0,0,0,0
"8","CP",0,0,0,0
"9","CR",0,0,0,0
"10","DE",0,0,0,0
"11","GA",0,0,0,0
"12","GP",0,0,0,0
"13","HC",0,0,0,0
"14","KL",0,0,0,0
"15","LC",0,0,0,0
"16","OH",0,0,0,0
"17","OL",0,0,0,0
"18","PA",0,0,0,0
"19","PF",0,0,0,0
"20","PL",0,0,0,0
"21","RA",0,0,0,0
"22","RV",0,0,0,0
"23","SN",0,0,0,0
"24","VE",0,0,0,0
"25","VI",0,0,0,0
"26","ZE",0,0,0,0
