"","Family","TGNumL","TGPercL","TGNumG","TGPercG","DBKNumL","DBKPercL","DBKNumG","DBKPercG","MortNumL","MortPercL","MortNumG","MortPercG"
"1","AK3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"2","AK6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"3","AK9",0,0,0,0,0,0,0,0,0,0,103,0.980952380952381
"4","BA2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"5","BA3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"6","BA5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"7","BC3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"8","BC6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"9","BC8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"10","BK2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"11","BK3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"12","BK5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"13","BL1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"14","BL2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"15","BL3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"16","BR3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"17","BR7",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"18","CA3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"19","CA4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"20","CB1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"21","CC2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"22","CC4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"23","CC7",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"24","CL1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"25","CP24",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"26","CP26",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"27","CP9",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"28","CR2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"29","CR3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"30","CR4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"31","CY6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"32","DE2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"33","DE4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"34","DE5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"35","DE6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"36","FB3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"37","FB9",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"38","FW10",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"39","FW3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"40","GA1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"41","GA2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"42","GA3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"43","GP1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"44","GP2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"45","HC1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"46","HC2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"47","HP1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"48","KL10",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"49","KL11",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"50","KL12",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"51","KL13",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"52","KL14",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"53","KL6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"54","KL7",0,0,0,0,0,0,0,0,0,0,0,0
"55","KM1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"56","KM10",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"57","LA10",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"58","LA13",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"59","LA5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"60","LA8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"61","LC1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"62","LC2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"63","OH1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"64","OK1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"65","OL1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"66","OR1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"67","PA1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"68","PA3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"69","PA4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"70","PF1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"71","PF2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"72","PF4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"73","PF5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"74","PL1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"75","PL11",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"76","PL4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"77","PL7",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"78","RA2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"79","RA8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"80","RV3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"81","RV4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"82","RV8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"83","SA5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"84","SA7",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"85","SA8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"86","SC4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"87","SN1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"88","SN2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"89","SN3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"90","SN4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"91","SR2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"92","SR3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"93","VE10",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"94","VE5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"95","VE7",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"96","VI3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"97","VI4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"98","VI5",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"99","WL3",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"100","WL8",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"101","WV2",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"102","WV6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"103","ZE1",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"104","ZE4",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
"105","ZE6",0,0,0,0,0,0,0,0,1,0.00952380952380952,0,0
