"","Source","TGNumL","TGPercL","TGNumG","TGPercG","DBKNumL","DBKPercL","DBKNumG","DBKPercG","MortNumL","MortPercL","MortNumG","MortPercG"
"1","AK",0,0,0,0,0,0,0,0,0,0,0,0
"2","BA",0,0,0,0,0,0,0,0,0,0,0,0
"3","BC",0,0,0,0,0,0,0,0,0,0,0,0
"4","BK",0,0,0,0,0,0,0,0,0,0,0,0
"5","BL",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"6","BR",0,0,0,0,0,0,0,0,0,0,0,0
"7","CA",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"8","CB",0,0,0,0,0,0,0,0,0,0,0,0
"9","CC",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"10","CL",0,0,0,0,0,0,0,0,0,0,0,0
"11","CP",0,0,0,0,0,0,0,0,0,0,0,0
"12","CR",0,0,0,0,0,0,0,0,0,0,0,0
"13","CY",0,0,0,0,0,0,0,0,0,0,0,0
"14","DE",0,0,0,0,0,0,0,0,0,0,0,0
"15","FB",0,0,0,0,0,0,0,0,0,0,0,0
"16","FW",0,0,0,0,0,0,0,0,0,0,0,0
"17","GA",0,0,0,0,1,0.0232558139534884,0,0,0,0,0,0
"18","GP",0,0,0,0,0,0,0,0,0,0,0,0
"19","HC",0,0,0,0,2,0.0465116279069767,0,0,0,0,0,0
"20","HP",0,0,0,0,0,0,0,0,0,0,0,0
"21","KLa",0,0,0,0,0,0,8,0.186046511627907,0,0,0,0
"22","KLb",0,0,0,0,0,0,0,0,0,0,0,0
"23","KLc",0,0,0,0,0,0,0,0,0,0,0,0
"24","KM",0,0,0,0,0,0,0,0,0,0,0,0
"25","LA",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"26","LC",0,0,0,0,0,0,0,0,0,0,0,0
"27","OH",0,0,0,0,0,0,0,0,0,0,0,0
"28","OK",0,0,0,0,0,0,0,0,0,0,0,0
"29","OL",0,0,0,0,0,0,0,0,0,0,0,0
"30","OR",0,0,0,0,0,0,0,0,0,0,0,0
"31","PA",0,0,0,0,0,0,0,0,0,0,0,0
"32","PF",0,0,0,0,0,0,10,0.232558139534884,0,0,0,0
"33","PL",0,0,0,0,0,0,0,0,0,0,0,0
"34","RA",0,0,0,0,0,0,0,0,0,0,0,0
"35","RV",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"36","SA",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"37","SC",0,0,0,0,0,0,0,0,0,0,0,0
"38","SN",0,0,0,0,1,0.0232558139534884,0,0,0,0,0,0
"39","SR",0,0,0,0,4,0.0930232558139535,0,0,0,0,0,0
"40","VE",0,0,0,0,0,0,0,0,0,0,0,0
"41","VI",0,0,0,0,0,0,0,0,0,0,0,0
"42","WL",0,0,0,0,0,0,7,0.162790697674419,0,0,0,0
"43","WV",0,0,0,0,0,0,7,0.162790697674419,0,0,0,0
"44","ZE",0,0,0,0,0,0,0,0,0,0,0,0
