"","X","o_pval","a_pval","site","DepVar"
"1",1,0.526717673313357,1,"PH","Growth"
"2",2,7.56640645691232e-12,9.07968774829478e-11,"PH","Dieback"
"3",3,NA,NA,"PH","Mortality"
"4",4,0.319374025007885,1,"PV","Growth"
"5",5,0.728221463406699,1,"PV","Dieback"
"6",6,0.702962363270841,1,"PV","Mortality"
"7",7,0.166949786405339,1,"SF","Growth"
"8",8,0.000208600364920647,0.00250320437904776,"SF","Dieback"
"9",9,NA,NA,"SF","Mortality"
"10",10,0.0478711683098014,0.574454019717617,"SO","Growth"
"11",11,0.239646552053275,1,"SO","Dieback"
"12",12,0.841101134392844,1,"SO","Mortality"
