"","o_pval","a_pval","site","DepVar"
"1",0.500178280918192,0,"PH","Growth"
"2",0.731081208131562,0,"PH","Dieback"
"3",0.880592943162923,0,"PH","Mortality"
"4",0.577827872766619,0,"PV","Growth"
"5",0.136014971740482,0,"PV","Dieback"
"6",0.31181815040999,0,"PV","Mortality"
"7",0.136196161069583,0,"SF","Growth"
"8",0.0172970545967395,0,"SF","Dieback"
"9",0.271824657453624,0,"SF","Mortality"
"10",0.786743121373556,0,"SO","Growth"
"11",0.655799232958419,0,"SO","Dieback"
"12",0.773426219835795,0,"SO","Mortality"
