"","Ecoregion","Source","PH_OGR","PV_OGR","SF_OGR","SO_OGR","PH_DBK","PV_DBK","SF_DBK","SO_DBK","PH_PMT","PV_PMT","SF_PMT","SO_PMT"
"1","WIVA","AK",67.0476190476191,139.877551020408,65.5,6.3448275862069,12.7173913043478,20.8189655172414,21.9310344827586,9.74509803921569,0.0333333333333333,0,0,0.0166666666666667
"2","CORA","BA",92.2222222222222,143.909090909091,65.4285714285714,10.2857142857143,17.1785714285714,25.8035714285714,17.8852459016393,9.17857142857143,0,0,0.0166666666666667,0.0333333333333333
"3","PULO","BC",88.6969696969697,134.574468085106,63.4313725490196,10.78125,13.7457627118644,26.5535714285714,24.5892857142857,13.3061224489796,0,0,0,0
"4","KLMT","BK",96.0588235294118,123.4,52.265306122449,11.5,11.4285714285714,13.6379310344828,24.448275862069,11.1777777777778,0,0,0,0
"5","CSCO","BL",90.8717948717949,156.5,61.7,10.7727272727273,12.2068965517241,7.78947368421053,11,8.71739130434783,0,0,0,0
"6","PULO","BR",91.5,143.96,62.8,18.6111111111111,14.7567567567568,19.3243243243243,22.2307692307692,6.48148148148148,0,0.125,0,0
"7","CSCO","CA",86.4347826086957,110,65.7333333333333,11.1428571428571,17.3333333333333,4.71794871794872,18.7105263157895,10.1142857142857,0,0.05,0,0
"8","PULO","CB",92.1666666666667,109.666666666667,78.5294117647059,0,16.4736842105263,33.05,13.6315789473684,9.4,0,0,0,0
"9","CSCO","CC",89.4,153,50.1162790697674,11.3333333333333,17.3076923076923,6.87272727272727,18.6379310344828,12.5454545454545,0,0,0,0
"10","PULO","CL",109,169.294117647059,67.8823529411765,5.88888888888889,3.88888888888889,20.9444444444444,15.55,12,0,0,0,0
"11","KLMT","CP",82.2,161.633333333333,64.9069767441861,8.85185185185185,12.5454545454545,17.4509803921569,17.9444444444444,12.3720930232558,0,0,0,0
"12","PULO","CR",103.852941176471,139.957446808511,73.5178571428571,12.08,10.4576271186441,23.8793103448276,20.1864406779661,9.04081632653061,0,0,0,0
"13","KLMT","CY",95.6363636363636,188.181818181818,68.75,3.83333333333333,13.5263157894737,3.65,26.1,14.8461538461538,0,0,0,0
"14","CSCD","DE",82.8222222222222,151.28813559322,57.3698630136986,7.92307692307692,13.1842105263158,18.9324324324324,26.961038961039,10.4788732394366,0,0,0,0.015625
"15","PULO","FB",80.2727272727273,133.137931034483,59.3947368421053,17.3478260869565,12.1315789473684,21.7894736842105,24.45,7.31428571428571,0,0,0,0
"16","PULO","FW",82.1764705882353,144.636363636364,59.4444444444444,12.6818181818182,13.1875,20.7631578947368,22.3157894736842,14.4666666666667,0,0.025,0,0
"17","CORA","GA",96.1,168,55.6041666666667,11.9444444444444,16.3454545454545,10.859649122807,21.0677966101695,14.5510204081633,0,0,0,0
"18","KLMT","GP",80.2916666666667,126.78125,64.3030303030303,11.08,17.7105263157895,17.325,22.6153846153846,12.5454545454545,0,0,0,0
"19","KLMT","HC",89.8333333333333,173.333333333333,46.375,15.2105263157895,11.5897435897436,6.26315789473684,25.4871794871795,9.11764705882353,0,0,0,0
"20","CSCO","HP",95.4285714285714,278,49.8823529411765,16.1,6.52941176470588,7.6,13.75,12,0,0,0,0
"21","KLMT","KLa",89.5384615384615,124.047619047619,77.2222222222222,2.46153846153846,10.5660377358491,34.0377358490566,17.5178571428571,13.4705882352941,0.0166666666666667,0,0,0
"22","KLMT","KLb",89.0416666666667,130.814814814815,57.1818181818182,1.68181818181818,14.4857142857143,25.075,17.8125,15.8181818181818,0,0,0,0
"23","KLMT","KLc",83.2631578947368,156.214285714286,55.2121212121212,12.4583333333333,8.14285714285714,17.6111111111111,20.2432432432432,13.4722222222222,0,0,0,0
"24","PULO","KM",77.9411764705882,145.90625,76.6296296296296,13.6875,13.9666666666667,22.5526315789474,18.5277777777778,9.4375,0,0,0,0.03125
"25","CORA","LA",100.780487804878,183.25,60.974358974359,15.9047619047619,12.4657534246575,5.87837837837838,14.7142857142857,6.01587301587302,0,0,0,0.0583333333333333
"26","CORA","LC",92.0588235294118,150.421052631579,70.3421052631579,11.8333333333333,13.8181818181818,15.725,23.2307692307692,6.73529411764706,0,0,0,0
"27","PULO","OH",90.1666666666667,143.75,78.95,20.8888888888889,10.2222222222222,34.7368421052632,20.85,6.52941176470588,0,0,0,0
"28","CSCD","OK",72.125,152.315789473684,85.2631578947368,11.4666666666667,12.1875,29.95,12.9,12.75,0,0,0,0
"29","PULO","OL",121.333333333333,147.4375,72.45,14,5.16666666666667,4.61111111111111,14.047619047619,10.3888888888889,0,0,0,0
"30","WIVA","OR",87.625,112.705882352941,35,9.16666666666667,8.25,31.2,27.2631578947368,12,0,0,0,0
"31","PULO","PA",75.7826086956522,146.564102564103,59.8958333333333,12.44,11.4545454545455,13.6363636363636,26.1272727272727,10.8181818181818,0,0,0,0.0416666666666667
"32","CSCD","PF",92.9230769230769,126.396825396825,67.8285714285714,9.9375,9.27631578947368,34.2777777777778,17.8157894736842,14.5072463768116,0,0,0,0
"33","SRNA","PL",86.25,133.827586206897,62,11.3409090909091,12.0821917808219,18.4285714285714,21.961038961039,11.3333333333333,0,0,0,0
"34","KLMT","RA",107.4,150.1875,69.0625,12.0526315789474,6.14285714285714,11.8974358974359,20.5789473684211,12,0,0,0,0
"35","CSCO","RV",87.5142857142857,130.25,55.65625,16.09375,16.1320754716981,6.98305084745763,14.7222222222222,9.89583333333333,0,0,0,0
"36","CORA","SA",106.75,NA,71.9375,12.9,10.2244897959184,6.13461538461539,8.25925925925926,8.5,0,0,0,0
"37","CORA","SC",89.3,NA,47.7272727272727,13,5.68421052631579,6.76470588235294,19.9473684210526,18.0588235294118,0,0,0,0
"38","SRNA","SN",88.4754098360656,145,62.6779661016949,6.36842105263158,15.275,12.1842105263158,18.8625,12.969696969697,0,0,0,0
"39","CSCO","SR",81.375,NA,67.8333333333333,7.26666666666667,10.8709677419355,1.975,21.2702702702703,13.1935483870968,0,0,0,0
"40","WIVA","VE",88.8181818181818,157.018181818182,60.1864406779661,7.75,11.1153846153846,27.3,27.2833333333333,11.6346153846154,0,0,0,0
"41","PULO","VI",75.3214285714286,149.489795918367,56.9583333333333,10.6486486486486,15.6964285714286,25.3157894736842,26.1481481481481,12.44,0,0,0,0
"42","WIVA","WL",89.6315789473684,128.810810810811,72.5,11.9545454545455,10.1944444444444,35.525,17.9473684210526,11.4193548387097,0,0.03125,0,0
"43","WIVA","WV",91.05,136.571428571429,76.4473684210526,8.53333333333333,14.4,35.4473684210526,20.1,8.67647058823529,0,0,0,0.03125
"44","WIVA","ZE",76.8571428571429,148.053571428571,62.3793103448276,6.39393939393939,16.2222222222222,28,23.3728813559322,14.4705882352941,0,0,0,0
